"","name","sfe","geog","aud","god","gg"
"320","Растишка, Детский образовательно-оздоровительный центр","             Образование","             Пермский край","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2012        ",2012
"321","Региональная Благотворительная Общественная Организация родителей детей-инвалидов Республики Татарстан ""Подари Чудо""","             Социально ориентированные НКО","             Татарстан","                                       Люди с ограниченными возможностями, инвалиды"," 2016        ",2016
"322","Региональная корпоративная общественная организация инвалидов ""Центр информационной поддержки ""Таганай""","             Cоциальное обслуживание граждан","             Ямало-Ненецкий АО","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Некоммерческие организации"," 2013        ",2013
"323","Региональная общественная организация всетороннего развития познавательных и творческих способностей детей ""ОБРАЗЪ"".","             Культурно-просветительская деятельность","             Ростовская обл.","                                       Родители с детьми, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2008        ",2008
"324","Региональная общественная организация ДА ВЫХОД","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Некоммерческие организации"," 2014        ",2014
"325","Региональная общественная организация инвалидов ХМАО-Югры «Свет»","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2016        ",2016
"326","Региональная общественная организация инвалидов-колясочников ""АЛЬТЕРНАТИВА"" республики Башкортостан","             Сфера услуг","             Башкортостан(Башкирия)","                                       Люди с ограниченными возможностями, инвалиды"," 2012        ",2012
"327","Региональная общественная организация Ханты-Мансийского автономного округа-Югры «Многодетная семья и семья с ребенком инвалидом»","             Социально ориентированные НКО","             Ханты-Мансийский АО","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 1989        ",1989
"328","Региональное отделение ""Федерация спорта лиц с интеллектуальными нарушениями"" в Московской области","             Физическая культура и массовый спорт","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи"," 2017        ",2017
"329","Росомаха, камчатский центр молодежного туризма ","             Туризм","             Камчатская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2012        ",2012
"330","Русский без словаря","             Социально ориентированные НКО","             Санкт-Петербург и область","                                       Дошкольники, Учащиеся младших классов"," 2019        ",2019
"331","Сад в городе","             Благоустройство","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Другое"," 2011        ",2011
"332","Сад у дома","             Детские товары и услуги","             Вологодская обл.","                                       Родители с детьми"," 2011        ",2011
"333","Садики Надежды Самойловой, АНО Центр развития и реабилитации детей ""Светлый город""","             Образование","             Санкт-Петербург и область","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники"," 2014        ",2014
"334","Сантранс-НН, Служба трансопртировки лежачих больных","             Cоциальное обслуживание граждан","             Нижегородская (Горьковская)","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2011        ",2011
"335","Северная Мануфактура","             Народные промыслы","             Архангельская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Взрослые от 45 до 60 лет, Неполные семьи"," 2010        ",2010
"336","Семейно-досуговый центр ""Страна гномов""","             Занятия в детских и молодежных кружках, секциях, студиях","             Москва и Московская обл.","                                       Родители с детьми, Социально-незащищенные жители"," 2010        ",2010
"337","Семейный клуб ""БУКВАРЕНОК""","             Занятия в детских и молодежных кружках, секциях, студиях","             Мордовия","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов"," 2002        ",2002
"338","Семейный клуб ""Синяя птица"" (ИП Динмухаметова А.Р.)","             Образование","             Татарстан","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2012        ",2012
"339","Семейный центр ""Чудеево""","             Детские товары и услуги","             Москва и Московская обл.","                                       Родители с детьми"," 2009        ",2009
"340","Семейный центр развития и досуга ""Эврика""","             Образование","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2015        ",2015
"341","Сервис занятости ""Бабушка на час"" (Возрасту.нет)","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Социально-незащищенные жители, Безработные, Добровольцы, сторонники НКО, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2016        ",2016
"342","Сервис поиска попутчиков","             Туризм","             Общероссийский проект","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2015        ",2015
"343","Сеть детских садов ""Солнышко""","             Образование","             Калининградская обл.","                                       Дошкольники"," 2009        ",2009
"344","Сеть логопедических центров ""Веста""","             Образование","             Ханты-Мансийский АО","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов"," 2004        ",2004
"345","Сеть пансионатов для пожилых людей ЗАБОТА","             Cоциальное обслуживание граждан","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2008        ",2008
"346","Сеть пансионатов домов ухода за немощными и больными людьми.","             Cоциальное обслуживание граждан","             Свердловская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Другое"," 2002        ",2002
"347","Сеть Центров семейного доверительного воспитания ""АКАДЕМИЯ ДЕТСТВА""","             Образование","             Красноярский край","                                       Родители с детьми, Дошкольники, Неполные семьи, Другое"," 2008        ",2008
"348","Сладкая ЭН","             Продукты питания","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2013        ",2013
"349","Служба социальной и паллиативной помощи ""Ваша сиделка ","             Сфера услуг","             Башкортостан(Башкирия)","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2015        ",2015
"350","Служба социальной помощи «Душевные люди» ","             Cоциальное обслуживание граждан","             Ханты-Мансийский АО","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Безработные, Лица без определенного места жительства"," 2016        ",2016
"351","Сооциальный ФабЛаб ""Каморкинг 38""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Новосибирская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Неполные семьи, Некоммерческие организации"," 2016        ",2016
"352","Социальная парикмахерская ""Вишневый город""","             Сфера услуг","             Кемеровская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2013        ",2013
"353","Социальная служба Участие","             Cоциальное обслуживание граждан","             Архангельская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды"," 2008        ",2008
"354","Социальная творческая мастерская ""ДарДети""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи"," 2016        ",2016
"355","Социально ориентированный индивидуальный предприниматель Крюков Сергей Михайлович","             Энергоэффективность","             Иркутская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Лица без определенного места жительства, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Некоммерческие организации"," 2011        ",2011
"356","Социальное швейное ателье ""Нить Ариадны""","             Профориентация и трудоустройство","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Другое"," 2015        ",2015
"357","СОЦИАЛЬНЫЙ ГЕРИАТРИЧЕСКИЙ ЦЕНТР ""ОПЕКА""","             Cоциальное обслуживание граждан","             Санкт-Петербург и область","                                       Пожилые люди"," 2008        ",2008
"358","Социальный магазин ""Стало мало""","             Детские товары и услуги","             Пермский край","                                       Родители с детьми"," 2013        ",2013
"359","СоцПрофи","             Другое","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Работающая молодежь, Взрослые от 30 до 45 лет, Другое, Некоммерческие организации"," 2015        ",2015
"360","Союз успешных женщин","             Социально ориентированные НКО","             Башкортостан(Башкирия)","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Дошкольники"," 2011        ",2011
"361","Спортивно-оздоровительный комплекс « Юнона»","             Здравоохранение и содействие здоровому образу жизни","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2014        ",2014
"362","Спортивно-оздоровительный центр ""Юнона""","             Здравоохранение","             Кемеровская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"363","Стало Мало в Ульяновске","             Детские товары и услуги","             Ульяновская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов, Безработные, Неполные семьи"," 2016        ",2016
"364","столярная мастерская ""Дар дерева""","             Строительство","             Свердловская обл.","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Работающая молодежь, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2010        ",2010
"365","Студия кино ""Четверг""","             Занятия в детских и молодежных кружках, секциях, студиях","             Ханты-Мансийский АО","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2015        ",2015
"366","Студия фитнеса в воздухе ""Гравитация""","             Физическая культура и массовый спорт","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2015        ",2015
"367","Творческая лаборатория ""Будь в шапке!""","             Легкая промышленность","             Красноярский край","                                       Пожилые люди, Родители с детьми, Студенты, Взрослые от 30 до 45 лет"," 2015        ",2015
"368","Творческая мануфактура ""Про-Образ""","             Культурно-просветительская деятельность","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое, Некоммерческие организации"," 2003        ",2003
"369","Творческая мастерская ""Ананас""","             Отдых и досуг","             Ханты-Мансийский АО","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2015        ",2015
"370","Творческое Объединение ""Кот да Винчи""","             Культурно-просветительская деятельность","             Кемеровская обл.","                                       Родители с детьми, Молодежь, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Неполные семьи, Другое, Некоммерческие организации"," 2012        ",2012
"371","Творческое пространство ""Равные возможности""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Москва и Московская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Учащиеся средней школы, Студенты, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Некоммерческие организации"," 1997        ",1997
"372","Театр-Музей Ильи Муромца","             Отдых и досуг","             Владимирская обл.","                                       Пожилые люди, Родители с детьми, Дошкольники, Учащиеся младших классов, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2016        ",2016
"373","Театральная школа для взрослых ""Сцена"" (Scena)","             Культурно-просветительская деятельность","             Кемеровская обл.","                                       Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2012        ",2012
"374","Транспортировка лежачих больных","             Cоциальное обслуживание граждан","             Кемеровская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи"," 2015        ",2015
"375","Тренажерный зал ""Спарта""","             Физическая культура и массовый спорт","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2015        ",2015
"376","Тренинг-Центр ""Два Мира"" (ИП Офицерова)","             Сфера услуг","             Воронежская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь, Дошкольники, Студенты, Работающая молодежь, Безработные, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2015        ",2015
"377","Третий сектор: бухгалтерия для НКО","             Интернет и IT","             Общероссийский проект","                                       Добровольцы, сторонники НКО, Некоммерческие организации"," 2014        ",2014
"378","Умнички, детский клуб","             Занятия в детских и молодежных кружках, секциях, студиях","             Алтайский край","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дошкольники, Учащиеся младших классов"," 2012        ",2012
"379","Упсала-Цирк","             Культура и искусство","             Санкт-Петербург и область","                                       Родители с детьми, Социально-незащищенные жители, Молодежь, Учащиеся младших классов, Учащиеся средней школы, Неполные семьи"," 2000        ",2000
"380","УРОО ""Клуб активных родителей""","             Туризм","             Ульяновская обл.","                                       Родители с детьми, Дети-сироты, приемные семьи, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"381","Фитнес студия ""Ёж""","             Физическая культура и массовый спорт","             Вологодская обл.","                                       Родители с детьми, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"382","Фонд ""Ижевский социальный гериатрический центр ""Опека""","             Cоциальное обслуживание граждан","             Удмуртия","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2015        ",2015
"383","Фонд ""СОРАТНИКИ""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Дети-сироты, приемные семьи, Добровольцы, сторонники НКО"," 2011        ",2011
"384","Фонд поддержки людей с расстройствами аутистического спектра и другими ментальными нарушениями ""Город Солнца""","             Социально ориентированные НКО","             Ханты-Мансийский АО","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2016        ",2016
"385","Фонд развития медиапроектов и социальных программ Gladway","             Инновации","             Москва и Московская обл.","                                       Добровольцы, сторонники НКО, Другое, Некоммерческие организации"," 2011        ",2011
"386","Фонд развития социальной сферы ""Содействие""","             Cоциальное обслуживание граждан","             Иркутская обл.","                                       Пожилые люди, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители"," 2017        ",2017
"387","Фонд содействия выполнению государственной программы ""Доступная среда""","             Социально ориентированные НКО","             Краснодарский край","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Работающая молодежь"," 2011        ",2011
"388","Футбольная академия #tagsport","             Физическая культура и массовый спорт","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"389","Художественные мастерские ""Окоём""","             Культура и искусство","             Москва и Московская обл.","                                       Люди с ограниченными возможностями, инвалиды, Молодежь, Добровольцы, сторонники НКО, Другое"," 2016        ",2016
"390","Цветное молоко, Центр развития ребенка - детский сад","             Образование","             Астраханская обл.","                                       Родители с детьми, Дошкольники"," 2009        ",2009
"391","Центр ""Место восстановления"", ООО ""РНК-релакс""","             Здравоохранение и содействие здоровому образу жизни","             Свердловская обл.","                                       Пожилые люди, Родители с детьми, Молодежь, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"392","Центр ""Тревожная кнопка""","             Социально ориентированные НКО","             Москва и Московская обл.","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Учащиеся младших классов, Взрослые от 45 до 60 лет"," 2011        ",2011
"393","Центр активного отдыха ""Кенгуру""","             Отдых и досуг","             Красноярский край","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2015        ",2015
"394","Центр временного пребывания детей","             Образование","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники, Учащиеся младших классов"," 2007        ",2007
"395","Центр детского развития ""Умка""","             Образование","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники"," 2008        ",2008
"396","Центр для детей с особенностями развития ""КаДиКу""","             Образование","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2017        ",2017
"397","Центр дневного пребывания для инвалидов молодого возраста ""Веста""","             Образование","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Молодежь"," 2017        ",2017
"398","ЦЕНТР ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ И ПЕДАГОГИЧЕСКОЙ КОРРЕКЦИИ ""ЛОГОРИТМ""","             Образование","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"399","Центр дошкольного образования ""Клуб умных детей""","             Занятия в детских и молодежных кружках, секциях, студиях","             Кемеровская обл.","                                       Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2014        ",2014
"400","Центр здоровья и развития ""Мой малыш""","             Здравоохранение","             Ханты-Мансийский АО","                                       Родители с детьми, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2014        ",2014
"401","Центр изучения языков и развития ""Индиго""","             Образование","             Ханты-Мансийский АО","                                       Родители с детьми, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет"," 2016        ",2016
"402","Центр инклюзивного образования и социальной адаптации ""Счастье""","             Образование","             Ханты-Мансийский АО","                                       Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Учащиеся средней школы"," 2016        ",2016
"403","Центр научных развлечений ""ЭврикУм!""","             Отдых и досуг","             Общероссийский проект","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Учащиеся средней школы, Студенты, Работающая молодежь, Безработные, Лица без определенного места жительства, Добровольцы, сторонники НКО, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Некоммерческие организации"," 2011        ",2011
"404","Центр обучения, сопровождения и раннего вмешательства для детей раннего возраста","             Социально ориентированные НКО","             Кировская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Дошкольники, Учащиеся младших классов, Некоммерческие организации"," 2013        ",2013
"405","Центр онлайн-занятости ""Булаг""","             Вовлечению в социально-активную деятельность социально незащищенных групп","             Бурятия","                                       Пожилые люди, Родители с детьми, Люди с ограниченными возможностями, инвалиды, Сельские жители, Социально-незащищенные жители, Дети-сироты, приемные семьи, Молодежь, Студенты, Безработные, Взрослые от 30 до 45 лет, Взрослые от 45 до 60 лет, Неполные семьи, Другое"," 2014        ",2014
"406","Центр передовых технологий ""Диамед""","             Здравоохранение","             Кемеровская обл.","                                       Люди с ограниченными возможностями, инвалиды, Другое"," 2014        ",2014
"407","Центр подготовки собак-помощников","             Медтехника, протезно-ортопедические, другие техсредства","             Иркутская обл.","                                       Люди с ограниченными возможностями, инвалиды"," 2014        ",2014
"408","Центр поддержки материнства и детства ""Песочница""","             Сфера услуг","             Алтайский край","                                       Родители с детьми, Дошкольники"," 2015        ",2015
"409","Центр профориентации и развития личной эффективности ""Моя карьера""","             Профориентация и трудоустройство","             Бурятия","                                       Сельские жители, Молодежь, Учащиеся средней школы, Студенты, Работающая молодежь, Взрослые от 30 до 45 лет, Некоммерческие организации"," 2016        ",2016
"410","Центр развития ""Солнечный лучик""","             Социально ориентированные НКО","             Вологодская обл.","                                       Родители с детьми, Люди с ограниченными возможностями, инвалиды, Дошкольники, Учащиеся младших классов, Добровольцы, сторонники НКО"," 2014        ",2014
